letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-05-15_991170516849305501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1755-01-28_991170516848705501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-07-21_991170516722205501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1752-11-14_991170516849505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Granval_Jean_Louis_Cochart_de-JohIIB/B_1756-11-01_991170516766605501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Granval_Jean_Louis_Cochart_de-JohIIB/B_1757-02-27_991170516766405501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Granval_Jean_Louis_Cochart_de-JohIIB/B_1756-05-31_991170516766805501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Granval_Jean_Louis_Cochart_de-JohIIB/B_1756-07-28_991170516766705501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Granval_Jean_Louis_Cochart_de-JohIIB/B_1757-01-04_991170516766505501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1768-01-04_991170516764905501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1756-03-30_991170516765105501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1756-05-11_991170516765005501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1755-02-06_991170452965305501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1754-11-25_991170516765605501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1755-05-20_991170516765405501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1755-08-18_991170516765305501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1755-12-16_991170516765205501.xml,RG,transkribiert,0,0,1,1
BW_JohIIB/korr_Huber_Johann_Jakob-JohIIB/B_1755-02-20_991170516765505501.xml,RG,transkribiert,0,0,1,1
